,Wd,We,"theta(Wd,We)"
26.88,0.6426540415730354,0.4699638205268799,0.06993040278820954
26.95,0.6299814518578339,0.4505060730788141,0.07249108397080274
27.02,0.6173088621426323,0.43104832563074824,0.07505176515339597
27.09,0.6046362724274308,0.4115905781826824,0.07761244633598921
27.16,0.5919636827122292,0.39213283073461663,0.08017312751858241
27.23,0.5792910929970277,0.3726750832865507,0.08273380870117562
27.3,0.5666185032818262,0.3532173358384849,0.08529448988376885
27.37,0.5539459135666246,0.3337595883904191,0.08785517106636205
27.44,0.5412733238514231,0.31430184094235325,0.09041585224895529
27.51,0.5286007341362216,0.29484409349428736,0.09297653343154852
27.58,0.5159281444210206,0.27538634604622253,0.09553721461414161
27.65,0.5032555547058191,0.25592859859815675,0.09809789579673485
27.72,0.4905829649906176,0.2364708511500909,0.10065857697932808
27.79,0.4779103752754161,0.2170131037020251,0.10321925816192128
27.86,0.4652377855602145,0.19755535625395926,0.10577993934451449
27.93,0.452565195845013,0.17809760880589345,0.10834062052710774
28.0,0.43989260612981146,0.1586398613578276,0.11090130170970094
28.07,0.4272200164146099,0.13918211390976176,0.11346198289229416
28.14,0.41454742669940847,0.11972436646169593,0.11602266407488741
28.21,0.4018748369842069,0.10026661901363011,0.11858334525748063
28.28,0.3983731347161591,0.0970446207155532,0.1387235411488057
28.35,0.39487143244811135,0.09382262241747628,0.15886373704013074
28.42,0.3913697301800635,0.09060062411939936,0.1790039329314558
28.49,0.38786802791201586,0.08737862582132262,0.19914412882277988
28.56,0.3843663256439681,0.0841566275232457,0.21928432471410486
28.63,0.3808646233759203,0.08093462922516878,0.23942452060542987
28.7,0.3773629211078726,0.07771263092709187,0.25956471649675494
28.77,0.3738612188398248,0.07449063262901495,0.27970491238808
28.84,0.370359516571777,0.07126863433093804,0.2998451082794051
28.91,0.36685781430372916,0.06804663603286111,0.3199853041707301
28.98,0.3633561120356814,0.06482463773478421,0.34012550006205516
29.05,0.3598544097676336,0.061602639436707296,0.36026569595338026
29.12,0.3563527074995858,0.05838064113863038,0.3804058918447053
29.19,0.35285100523153806,0.05515864284055347,0.4005460877360304
29.26,0.3493493029634902,0.051936644542476554,0.42068628362735533
29.33,0.3458476006954427,0.0487146462443998,0.44082647951867937
29.4,0.3423458984273949,0.045492647946322885,0.46096667541000447
29.47,0.3388441961593471,0.04227064964824597,0.4811068713013295
29.54,0.33534249389129933,0.03904865135016905,0.5012470671926545
29.61,0.33184079162325153,0.035826653052092136,0.5213872630839798
29.68,0.32833908935520373,0.03260465475401523,0.5415274589753046
29.75,0.3248373870871559,0.029382656455938315,0.5616676548666298
29.82,0.32133568481910824,0.026160658157861397,0.5818078507579548
29.89,0.3178339825510604,0.02293865985978448,0.6019480466492797
29.96,0.31433228028301263,0.019716661561707562,0.6220882425406049
30.03,0.31083057801496483,0.016494663263630648,0.6422284384319299
30.1,0.30732887574691703,0.013272664965553745,0.662368634323255
30.17,0.3038271734788693,0.010050666667476827,0.68250883021458
30.24,0.30032547121082165,0.00682866836940007,0.7026490261059041
30.31,0.2968237689427739,0.003606670071323167,0.722789221997229
30.38,0.2933220666747261,0.0003846717732462356,0.7429294178885542
30.45,0.28982036440667835,-0.002837326524830667,0.7630696137798791
30.52,0.28631866213863055,-0.006059324822907584,0.7832098096712043
30.59,0.28281695987058275,-0.009281323120984501,0.8033500055625292
30.66,0.27931525760253495,-0.012503321419061403,0.8234902014538544
30.73,0.2758135553344872,-0.01572531971713832,0.8436303973451794
