,"x(Wd,We)","y(Wd,We)","theta(Wd,We)",Wd,We
18.2,1.36,-0.0,0.01,2.34,1.98
18.27,1.36,-0.0,0.01,2.34,2.15
18.34,1.37,-0.0,0.01,2.09,2.15
18.41,1.37,-0.0,0.01,2.4,2.15
18.48,1.38,-0.0,0.02,2.31,2.2
18.55,1.38,-0.0,0.02,2.26,2.26
18.62,1.39,-0.0,0.02,2.48,2.34
18.69,1.4,-0.0,0.02,2.42,2.37
18.76,1.4,-0.0,0.02,2.56,2.42
18.83,1.41,-0.0,0.02,2.68,2.59
18.9,1.41,-0.0,0.03,2.56,2.51
18.97,1.42,-0.0,0.02,2.26,2.34
19.04,1.43,-0.0,0.02,2.12,2.43
19.11,1.43,0.0,0.01,2.17,2.4
19.18,1.44,0.0,0.01,1.98,2.37
19.25,1.44,0.0,0.0,2.2,2.31
19.32,1.45,0.0,-0.0,2.03,2.29
19.39,1.45,0.0,0.0,2.23,2.06
19.46,1.46,0.0,0.0,2.06,2.15
19.53,1.46,0.0,-0.0,1.95,2.12
19.6,1.47,0.0,-0.0,2.17,2.29
19.67,1.47,0.0,-0.01,2.15,2.37
19.74,1.48,0.0,-0.01,2.42,2.37
19.81,1.48,0.0,-0.01,2.45,2.51
19.88,1.49,0.0,-0.01,2.4,2.48
19.95,1.5,-0.0,-0.01,2.4,2.34
20.02,1.5,-0.0,-0.01,2.4,2.34
20.09,1.51,-0.0,-0.01,2.29,2.48
20.16,1.51,-0.0,-0.01,2.42,2.34
20.23,1.52,-0.0,-0.01,2.31,2.34
20.3,1.52,-0.0,-0.01,2.4,2.29
20.37,1.53,-0.0,-0.0,2.48,2.2
20.44,1.53,-0.0,-0.01,2.2,2.34
20.51,1.54,-0.0,-0.02,1.92,2.42
20.58,1.54,-0.0,-0.02,1.95,2.23
20.65,1.55,-0.0,-0.02,2.29,2.26
20.72,1.56,-0.0,-0.01,2.48,1.95
20.79,1.56,-0.0,-0.0,2.42,2.15
20.86,1.57,-0.0,0.0,2.31,1.98
20.93,1.57,-0.0,0.01,2.31,2.09
21.0,1.58,-0.0,0.0,2.12,2.2
21.07,1.58,-0.0,0.01,2.29,2.03
21.14,1.59,-0.0,0.01,2.26,2.17
21.21,1.59,-0.0,0.01,2.34,2.23
21.28,1.6,-0.0,0.02,2.62,2.4
21.35,1.6,-0.0,0.02,2.59,2.45
21.42,1.61,-0.0,0.02,2.56,2.45
21.49,1.62,-0.0,0.02,2.65,2.59
21.56,1.62,-0.0,0.02,2.45,2.4
21.63,1.63,0.0,0.02,2.15,2.15
21.7,1.63,0.0,0.02,2.12,2.37
21.77,1.64,0.0,0.01,1.95,2.2
21.84,1.64,0.0,0.0,1.78,2.37
21.91,1.65,0.0,0.0,2.17,2.34
21.98,1.65,0.0,-0.0,2.03,2.29
22.05,1.66,0.0,-0.0,2.31,2.12
22.12,1.66,0.0,-0.0,2.12,2.12
22.19,1.67,0.0,-0.0,2.09,2.06
22.26,1.67,0.0,-0.0,2.23,2.23
22.33,1.68,0.0,-0.01,1.98,2.4
22.4,1.68,0.0,-0.01,2.34,2.34
22.47,1.69,0.0,-0.01,2.42,2.42
22.54,1.7,0.0,-0.01,2.48,2.45
22.61,1.7,0.0,-0.0,2.51,2.34
22.68,1.71,0.0,-0.01,2.43,2.45
22.75,1.71,0.0,-0.0,2.42,2.4
22.82,1.72,0.0,-0.0,2.48,2.42
22.89,1.72,0.0,-0.0,2.4,2.42
22.96,1.73,-0.0,-0.01,2.34,2.45
23.03,1.74,-0.0,-0.01,2.42,2.37
23.1,1.74,-0.0,-0.01,2.23,2.48
23.17,1.75,-0.0,-0.02,1.95,2.45
23.24,1.75,-0.0,-0.02,2.04,2.2
23.31,1.76,-0.0,-0.02,2.26,2.2
23.38,1.76,-0.0,-0.01,2.45,1.95
23.45,1.77,-0.0,-0.01,2.37,2.15
23.52,1.77,-0.0,-0.0,2.31,2.15
23.59,1.78,-0.0,-0.0,2.29,2.09
23.66,1.78,-0.0,-0.0,2.2,2.2
23.73,1.79,-0.0,0.0,2.34,2.12
23.8,1.79,-0.0,0.0,2.26,2.26
23.87,1.8,-0.0,0.01,2.34,2.2
23.94,1.81,-0.0,0.01,2.59,2.31
24.01,1.81,-0.0,0.01,2.56,2.42
24.08,1.82,-0.0,0.02,2.56,2.45
24.15,1.82,-0.0,0.02,2.59,2.54
24.22,1.83,-0.0,0.02,2.54,2.45
24.29,1.84,-0.0,0.02,2.29,2.29
24.36,1.84,0.0,0.02,2.17,2.34
24.43,1.85,0.0,0.01,2.29,2.51
24.5,1.85,0.0,0.0,2.03,2.42
24.57,1.86,0.0,0.0,2.2,2.29
24.64,1.86,0.0,0.0,2.15,2.23
24.71,1.87,0.0,-0.0,2.12,2.2
24.78,1.87,0.0,-0.0,2.15,2.17
24.85,1.88,0.0,-0.01,2.06,2.34
24.92,1.88,0.0,-0.01,2.29,2.2
24.99,1.89,0.0,-0.0,2.4,2.37
25.06,1.89,0.0,-0.01,2.45,2.48
25.13,1.9,0.0,-0.0,2.45,2.42
25.2,1.91,0.0,-0.01,2.31,2.45
25.27,1.91,-0.0,-0.01,2.15,2.45
25.34,1.92,-0.0,-0.01,2.4,2.31
25.41,1.92,-0.0,-0.01,2.4,2.48
25.48,1.93,-0.0,-0.01,2.48,2.45
25.55,1.93,-0.0,-0.01,2.59,2.26
25.62,1.94,-0.0,-0.01,2.42,2.42
25.69,1.95,-0.0,-0.01,2.26,2.45
25.76,1.95,-0.0,-0.02,2.12,2.37
25.83,1.96,-0.0,-0.02,1.81,2.31
25.9,1.96,-0.0,-0.03,2.12,2.17
25.97,1.97,-0.0,-0.02,2.23,2.03
26.04,1.97,-0.0,-0.01,2.48,2.01
26.11,1.98,-0.0,-0.0,2.56,2.03
26.18,1.98,-0.0,-0.0,2.34,2.26
26.25,1.99,-0.0,-0.0,2.29,2.26
26.32,1.99,-0.0,0.0,2.31,2.15
26.39,2.0,-0.0,0.0,2.2,2.23
26.46,2.0,-0.0,0.01,2.45,2.2
26.53,2.01,-0.0,0.01,2.42,2.23
26.6,2.02,-0.0,0.02,2.43,2.15
26.67,2.02,-0.0,0.02,2.56,2.4
26.74,2.03,-0.0,0.02,2.48,2.45
26.81,2.03,-0.0,0.02,2.45,2.31
26.88,2.04,-0.0,0.02,2.4,2.29
26.95,2.04,-0.0,0.02,2.37,2.37
27.02,2.05,-0.0,0.02,2.12,2.43
27.09,2.06,-0.0,0.01,2.15,2.54
27.16,2.06,0.0,0.0,1.92,2.42
27.23,2.07,0.0,-0.0,2.03,2.17
27.3,2.07,0.0,0.0,2.15,2.01
27.37,2.07,0.0,-0.01,0.81,1.37
27.44,2.07,0.0,-0.03,0.06,0.98
27.51,2.07,0.0,-0.03,0.03,0.03
27.58,2.07,0.0,-0.03,0.03,0.0
27.65,2.07,0.0,-0.02,0.11,0.0
27.72,2.07,0.0,-0.02,0.03,0.0
27.79,2.07,0.0,-0.02,0.0,0.0
27.86,2.07,0.0,-0.02,0.0,0.0
27.93,2.07,0.0,-0.02,0.0,0.0
28.0,2.07,0.0,-0.02,0.0,0.0
28.07,2.07,0.0,-0.02,0.0,0.03
28.14,2.07,0.0,-0.02,0.0,0.0
28.21,2.07,0.0,-0.02,0.0,0.0
28.28,2.07,0.0,-0.02,0.0,0.0
28.35,2.07,0.0,-0.02,0.0,0.0
28.42,2.07,0.0,-0.02,0.0,0.0
28.49,2.07,0.0,-0.02,0.0,0.0
28.56,2.07,0.0,-0.02,0.0,0.0
28.63,2.07,0.0,-0.02,0.0,0.0
28.7,2.07,0.0,-0.02,0.0,0.0
28.77,2.07,0.0,-0.02,0.0,0.0
28.84,2.07,0.0,-0.02,0.0,0.0
28.91,2.07,0.0,-0.02,0.0,0.0
28.98,2.07,0.0,-0.02,0.0,0.0
29.05,2.07,0.0,-0.02,0.0,0.0
29.12,2.07,0.0,-0.02,0.0,0.0
29.19,2.07,0.0,-0.02,0.0,0.0
29.26,2.07,0.0,-0.02,0.0,0.0
29.33,2.07,0.0,-0.02,0.0,0.03
29.4,2.07,0.0,-0.02,0.0,0.0
29.47,2.07,0.0,-0.03,0.0,0.03
29.54,2.08,-0.0,-0.04,0.0,0.61
29.61,2.08,-0.0,-0.07,0.0,1.56
29.68,2.08,-0.0,-0.12,0.0,2.54
29.75,2.08,-0.0,-0.17,0.0,2.65
29.82,2.09,-0.0,-0.22,0.0,2.51
29.89,2.09,-0.0,-0.26,0.0,2.09
29.96,2.09,-0.0,-0.29,0.0,1.45
30.03,2.09,-0.0,-0.31,0.0,1.09
30.1,2.09,-0.0,-0.31,0.0,0.36
30.17,2.09,-0.0,-0.31,0.0,0.0
30.24,2.09,-0.0,-0.31,0.0,0.0
30.31,2.09,-0.0,-0.31,0.0,0.0
30.38,2.09,-0.0,-0.31,0.0,0.0
30.45,2.09,-0.0,-0.31,0.0,0.0
30.52,2.09,-0.0,-0.31,0.0,0.0
30.59,2.09,-0.0,-0.31,0.0,0.0
30.66,2.09,-0.0,-0.31,0.0,0.0
30.73,2.09,-0.0,-0.31,0.0,0.0
30.8,2.09,-0.0,-0.31,0.0,0.0
30.87,2.09,-0.0,-0.31,0.0,0.0
30.94,2.09,-0.0,-0.31,-0.03,0.0
31.01,2.09,-0.0,-0.31,0.0,0.0
31.08,2.09,-0.0,-0.31,0.0,0.0
31.15,2.09,-0.0,-0.31,0.0,0.0
31.22,2.09,-0.0,-0.31,0.0,0.03
31.29,2.09,-0.0,-0.31,0.0,0.0
31.36,2.09,-0.0,-0.31,0.0,0.0
31.43,2.09,-0.0,-0.31,0.0,0.0
31.5,2.09,-0.0,-0.31,0.0,0.0
31.57,2.09,-0.0,-0.32,0.0,0.06
31.64,2.09,-0.0,-0.34,0.0,1.06
31.71,2.1,-0.0,-0.38,0.0,2.4
31.78,2.1,-0.01,-0.45,0.0,3.23
31.85,2.1,-0.01,-0.51,0.0,3.29
31.92,2.11,-0.01,-0.57,-0.03,2.93
31.99,2.11,-0.01,-0.6,0.0,1.98
32.06,2.11,-0.01,-0.63,0.0,1.56
32.13,2.11,-0.01,-0.65,0.0,0.56
32.2,2.11,-0.01,-0.65,0.0,0.0
32.27,2.11,-0.01,-0.65,-0.03,0.0
32.34,2.11,-0.01,-0.65,0.0,0.0
32.41,2.11,-0.01,-0.65,-0.08,0.0
32.48,2.11,-0.01,-0.65,-0.22,0.0
32.55,2.11,-0.01,-0.66,-0.5,0.0
32.62,2.11,-0.01,-0.68,-1.14,0.0
32.69,2.11,-0.01,-0.72,-1.92,0.0
