,Wd,We,"theta(Wd,We)","x(Wd,We)","y(Wd,We)",Wd_true,We_true
5.88,2.284252998036482,2.2858677194400205,0.011001492447269423,0.43975740326269447,1.4747206940089186,2.2701179764771324,2.331940269413902
5.95,2.2849432757997343,2.286400790977644,0.010973508681396037,0.4454252693544247,1.4744183050638602,2.271036846273054,2.331584501712558
6.02,2.2856335535629864,2.286933862515267,0.010942933673414082,0.451093135446155,1.4741159161188016,2.2719557160689754,2.3312287340112143
6.09,2.286323831326239,2.2874669340528904,0.01090977776508489,0.45676100153788524,1.4738135271737431,2.272874585864897,2.33087296630987
6.16,2.2870141090894913,2.288000005590513,0.010874051298169783,0.4624288676296155,1.4735111382286847,2.2737934556608184,2.3305171986085265
6.23,2.287704386852744,2.288533077128137,0.01083576461443009,0.46809673372134575,1.4732087492836263,2.27471232545674,2.3301614309071823
6.3,2.2883946646159963,2.28906614866576,0.010794928055627132,0.47376459981307606,1.472906360338568,2.2756311952526613,2.329805663205838
6.37,2.2890849423792483,2.2895992202033835,0.010751551963522236,0.4794324659048063,1.4726039713935093,2.276550065048583,2.3294498955044944
6.44,2.2897752201425012,2.2901322917410067,0.01070564667987673,0.48510033199653657,1.4723015824484509,2.2774689348445047,2.3290941278031503
6.51,2.2904654979057533,2.29066536327863,0.01065722254645194,0.4907681980882667,1.4719991935033927,2.278387804640426,2.328738360101806
6.58,2.291155775669006,2.2911984348162533,0.010606289905009185,0.496436064179997,1.471696804558334,2.2793066744363473,2.3283825924004624
6.65,2.2918460534322582,2.2917315063538766,0.01055285909730979,0.5021039302717273,1.4713944156132757,2.2802255442322688,2.3280268246991187
6.72,2.2925363311955103,2.2922645778914994,0.01049694046511509,0.5077717963634576,1.471092026668217,2.2811444140281902,2.3276710569977745
6.79,2.2932266089587627,2.2927976494291227,0.010438544350186409,0.5134396624551878,1.4707896377231586,2.2820632838241117,2.327315289296431
6.86,2.293916886722015,2.2933307209667464,0.010377681094285062,0.5191075285469181,1.4704872487781002,2.2829821536200336,2.3269595215950867
6.93,2.2946071644852677,2.2938637925043697,0.010314361039172385,0.5247753946386483,1.4701848598330416,2.283901023415955,2.3266037538937425
7.0,2.29529744224852,2.2943968640419925,0.010248594526609705,0.5304432607303786,1.4698824708879832,2.2848198932118766,2.3262479861923984
7.07,2.295987720011772,2.294929935579616,0.010180391898358338,0.5361111268221089,1.4695800819429246,2.2857387630077977,2.3258922184910547
7.14,2.2966779977750247,2.295463007117239,0.010109763496179612,0.541778992913839,1.4692776929978661,2.2866576328037196,2.325536450789711
7.21,2.297368275538277,2.2959960786548623,0.010036719661834866,0.5474468590055693,1.4689753040528077,2.287576502599641,2.325180683088367
7.28,2.2980585533015296,2.2965291501924856,0.009961270737085404,0.5531147250972996,1.4686729151077493,2.2884953723955626,2.3248249153870226
7.35,2.298748831064782,2.297062221730109,0.00988342706369257,0.5587825911890297,1.468370526162691,2.289414242191484,2.324469147685679
7.42,2.2994391088280346,2.297595293267732,0.009803198983417676,0.56445045728076,1.4680681372176323,2.2903331119874055,2.324113379984335
7.49,2.300129386591287,2.298128364805356,0.009720596838022056,0.5701183233724902,1.467765748272574,2.291251981783327,2.323757612282991
7.56,2.3008196643545396,2.298661436342979,0.009635630969267039,0.5757861894642206,1.4674633593275155,2.2921708515792485,2.323401844581647
7.63,2.301509942117792,2.2991945078806024,0.009548311718913934,0.5814540555559509,1.467160970382457,2.2930897213751704,2.3230460768803027
7.7,2.3022002198810445,2.2997275794182257,0.00945864942872408,0.5871219216476811,1.4668585814373987,2.2940085911710915,2.322690309178959
7.77,2.3028904976442965,2.300260650955849,0.009366654440458807,0.5927897877394113,1.46655619249234,2.294927460967013,2.3223345414776153
7.84,2.303580775407549,2.300793722493472,0.009272337095879423,0.5984576538311415,1.4662538035472816,2.2958463307629344,2.321978773776271
7.91,2.304271053170801,2.3013267940310955,0.009175707736747273,0.6041255199228718,1.4659514146022232,2.2967652005588564,2.321623006074927
7.98,2.304961330934054,2.3018598655687184,0.009076776704823665,0.6097933860146021,1.4656490256571648,2.297684070354778,2.3212672383735833
8.05,2.305651608697306,2.302392937106341,0.008975554341869935,0.6154612521063323,1.4653466367121064,2.2986029401506993,2.320911470672239
8.12,2.3063418864605585,2.302926008643965,0.008872050989647412,0.6211291181980626,1.465044247767048,2.299521809946621,2.3205557029708954
8.19,2.307032164223811,2.303459080181588,0.008766276989917408,0.6267969842897928,1.4647418588219896,2.3004406797425423,2.3201999352695513
8.26,2.3077224419870634,2.3039921517192115,0.008658242684441268,0.6324648503815231,1.464439469876931,2.3013595495384638,2.319844167568207
8.33,2.308412719750316,2.3045252232568347,0.008547958414980296,0.6381327164732534,1.4641370809318723,2.3022784193343853,2.3194883998668634
8.4,2.309102997513568,2.305058294794458,0.00843543452329583,0.6438005825649836,1.463834691986814,2.3031972891303063,2.3191326321655192
8.47,2.3097932752768204,2.3055913663320813,0.008320681351149196,0.6494684486567139,1.4635323030417555,2.3041161589262282,2.3187768644641755
8.54,2.310483553040073,2.3061244378697046,0.008203709240301716,0.655136314748444,1.4632299140966971,2.3050350287221497,2.3184210967628314
